index ,powerUse,timestamp,bathroom,kitchen,livingroom
1,1.5,5/9/2021 0:17,0,0,0
2,2.9,5/9/2021 13:56,0,0,0
3,3.1,5/9/2021 14:04,0,0,0
4,3.2,5/9/2021 15:50,0,0,0
5,3,5/9/2021 16:50,0,0,0
6,3.2,5/9/2021 17:50,0,0,0
7,3.4,5/9/2021 18:50,0,0,0
8,3.1,5/9/2021 19:50,0,0,0
9,3,5/9/2021 20:50,0,0,0
10,2.9,5/9/2021 21:50,0,0,0
11,2.6,5/9/2021 22:50,0,0,0
12,1.9,5/9/2021 23:50,0,0,0
13,2.9,5/10/2021 13:33,0,0,0
14,3.1,5/10/2021 19:15,0,0,0
15,3,5/10/2021 20:15,0,0,0
16,2.9,5/10/2021 21:15,0,0,0
17,2.6,5/10/2021 22:27,0,0,0
18,3.1,5/11/2021 11:34,0,0,0
19,2.6,5/11/2021 22:36,0,0,0
20,1.9,5/11/2021 23:36,0,0,0
21,2.9,5/12/2021 21:17,0,0,0
22,2.6,5/12/2021 22:17,0,0,0
23,1.9,5/12/2021 23:17,0,0,0
24,1.5,5/13/2021 0:17,0,0,0
25,3.1,5/13/2021 11:34,0,0,0
